iter	Accuracy	Logloss
733	0.8927755568	0.2706538652
734	0.8929183324	0.2704630088
735	0.8936322102	0.2703181586
736	0.8934894346	0.2701786088
737	0.8937749857	0.2700186952
738	0.8940605368	0.2697430922
739	0.8939177613	0.2696260285
740	0.8942033124	0.2694466017
741	0.8942033124	0.2693811205
742	0.8942033124	0.2691848102
743	0.8942033124	0.2690388752
744	0.8946316391	0.2689001203
745	0.8940605368	0.2687363178
746	0.8940605368	0.2686510085
747	0.8942033124	0.2685595892
748	0.8942033124	0.2683566601
749	0.8943460879	0.2682361512
750	0.8946316391	0.2680235022
751	0.8946316391	0.267976502
752	0.8946316391	0.2679024172
753	0.8946316391	0.267842863
754	0.8946316391	0.2676301284
755	0.8949171902	0.2674457819
756	0.8947744146	0.2673017984
757	0.8947744146	0.2671935442
758	0.8946316391	0.2670529447
759	0.8946316391	0.2669455135
760	0.8949171902	0.2668236267
761	0.8950599657	0.2666560557
762	0.8950599657	0.2665025697
763	0.8950599657	0.2663799578
764	0.8954882924	0.2661082344
765	0.8953455168	0.2659471255
766	0.8952027413	0.2657836103
767	0.8953455168	0.2656512553
768	0.8954882924	0.2653963031
769	0.8959166191	0.2652470515
770	0.8960593946	0.2650785329
771	0.8963449457	0.2649149322
772	0.8963449457	0.2648432562
773	0.8964877213	0.2646192237
774	0.8964877213	0.2644640094
775	0.8967732724	0.2642468742
776	0.896916048	0.263969261
777	0.8970588235	0.2638027979
778	0.8974871502	0.263671569
779	0.8980582524	0.2634166155
780	0.8980582524	0.2632776668
781	0.898201028	0.2631485771
782	0.898201028	0.2629848383
783	0.898201028	0.2628419071
784	0.898201028	0.2626745372
785	0.8984865791	0.2625365774
786	0.8986293547	0.2624604153
787	0.8987721302	0.262382159
788	0.8990576813	0.2622685914
789	0.8990576813	0.2621380917
790	0.8989149058	0.2619260993
791	0.8990576813	0.2617354376
792	0.8989149058	0.261569418
793	0.8987721302	0.2614610935
794	0.8987721302	0.2613776889
795	0.8989149058	0.2612787167
796	0.8989149058	0.2611694635
797	0.8990576813	0.2610251125
798	0.8990576813	0.2608829697
799	0.8993432324	0.260662467
800	0.899486008	0.2605456402
801	0.8997715591	0.2604444946
802	0.899486008	0.2602082065
803	0.899486008	0.2600433254
804	0.8993432324	0.2599141877
805	0.8993432324	0.2598241227
806	0.8999143347	0.2596881005
807	0.9006282125	0.2595628173
808	0.9006282125	0.2594402349
809	0.9009137636	0.2592877593
810	0.9009137636	0.2591717338
811	0.9013420902	0.2590293947
812	0.9011993147	0.2588203604
813	0.9011993147	0.2586548977
814	0.9016276413	0.2584323801
815	0.9014848658	0.2583472341
816	0.9014848658	0.2582572325
817	0.9016276413	0.2580636404
818	0.9017704169	0.2579371317
819	0.9017704169	0.2577883963
820	0.9016276413	0.2576758116
821	0.9017704169	0.2576036984
822	0.9017704169	0.2575207514
823	0.902055968	0.2573910538
824	0.902055968	0.2573050167
825	0.9019131925	0.2571949731
826	0.9019131925	0.2571241584
827	0.902055968	0.2570444666
828	0.9024842947	0.2568646002
829	0.9023415191	0.2567092482
830	0.9026270702	0.2565957543
831	0.9026270702	0.2564956852
832	0.9026270702	0.2563713053
833	0.9026270702	0.2562728327
834	0.9029126214	0.2561217083
835	0.9027698458	0.2559116879
836	0.9030553969	0.2558148571
837	0.9030553969	0.2556583974
838	0.903340948	0.2555444185
839	0.9034837236	0.2553960263
840	0.9034837236	0.255336261
841	0.9036264991	0.2551873902
842	0.9041976014	0.254982716
843	0.9041976014	0.2548651631
844	0.9043403769	0.2547530318
845	0.9043403769	0.254664979
846	0.9043403769	0.2544984716
847	0.9047687036	0.2543558462
848	0.9047687036	0.2542253988
849	0.9047687036	0.2540272584
850	0.9047687036	0.2539334119
851	0.9049114792	0.2538453245
852	0.9049114792	0.2537876517
853	0.9050542547	0.2536724308
854	0.9054825814	0.2535892986
855	0.9057681325	0.2534829126
856	0.9057681325	0.2533481256
857	0.9060536836	0.2531618119
858	0.9059109081	0.2530261772
859	0.9057681325	0.2529149138
860	0.9057681325	0.2528198012
861	0.9054825814	0.2526782047
862	0.9053398058	0.2525958191
863	0.9054825814	0.2524488592
864	0.9053398058	0.2522360777
865	0.9057681325	0.2520693327
866	0.9057681325	0.2519870666
867	0.9061964592	0.251770641
868	0.9061964592	0.2516653677
869	0.9063392347	0.2515380595
870	0.9060536836	0.2514064348
871	0.9061964592	0.2513131177
872	0.9061964592	0.2512377092
873	0.9061964592	0.2511625405
874	0.9060536836	0.2510871118
875	0.9061964592	0.2509649344
876	0.9061964592	0.2507866826
877	0.9064820103	0.250505658
878	0.9064820103	0.2503419746
879	0.9066247858	0.2501743542
880	0.9064820103	0.2500411952
881	0.9070531125	0.2497770336
